1, 1, 2015-09-27 00:37:39, F5:24:66:E4:F8:DC, Random, ADV_IND - Connectable undirected advertising,  -80
1, 1, 2015-09-27 00:37:39, D9:06:9E:AA:AC:EE, Random, ADV_IND - Connectable undirected advertising,  -49
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -59
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -63
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -59
1, 1, 2015-09-27 00:37:39, D1:54:83:2F:46:C1, Random, ADV_IND - Connectable undirected advertising,  -41
1, 1, 2015-09-27 00:37:39, F6:90:C2:B4:4D:A3, Random, ADV_IND - Connectable undirected advertising,  -65
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -64
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -64
1, 1, 2015-09-27 00:37:39, C2:E5:60:9C:0C:2E, Random, ADV_IND - Connectable undirected advertising,  -56
1, 1, 2015-09-27 00:37:39, D9:06:9E:AA:AC:EE, Random, ADV_IND - Connectable undirected advertising,  -48
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -73
1, 1, 2015-09-27 00:37:39, D1:54:83:2F:46:C1, Random, ADV_IND - Connectable undirected advertising,  -42
1, 1, 2015-09-27 00:37:39, F6:90:C2:B4:4D:A3, Random, ADV_IND - Connectable undirected advertising,  -65
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -65
1, 1, 2015-09-27 00:37:39, C2:E5:60:9C:0C:2E, Random, ADV_IND - Connectable undirected advertising,  -84
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -65
1, 1, 2015-09-27 00:37:39, F5:24:66:E4:F8:DC, Random, ADV_IND - Connectable undirected advertising,  -70
1, 1, 2015-09-27 00:37:39, D9:06:9E:AA:AC:EE, Random, ADV_IND - Connectable undirected advertising,  -59
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -92
1, 1, 2015-09-27 00:37:39, B0:34:95:31:56:93, Public, ADV_IND - Connectable undirected advertising,  -59
